obs,source,auth,title,yr_pub,reg,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,ferttype3,fert3_kgN_ha,split_app,org_Nfix_in,irrig_1_0,crop,crop_type,trt_name,nh3_kg_seas,nh3_kg_seas_zero.rm,SE,approx_num_measurements,num_replicates,duration_d,tropical,N_in_kg,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
124,this study,"de Souza, TL; Guelfi, DR; Silva, AL; Andrade, AB; Chagas, WFT; Cancellier, EL",Ammonia and carbon dioxide emissions by stabilized conventional nitrogen fertilizers and controlled release in corn crop,2017,SCA,"Lavras, Minas Gerais, Brazil",-21.2035,-46.97826,1493,Ferralsol,1,5.7,50,6,44,,prilled urea,150,,,,,0,0,0,maize,cereal,prilled urea,57.689964,57.689964,1.03851,15,3,55,1,150,,44,1565,1493
125,this study,"de Souza, TL; Guelfi, DR; Silva, AL; Andrade, AB; Chagas, WFT; Cancellier, EL",Ammonia and carbon dioxide emissions by stabilized conventional nitrogen fertilizers and controlled release in corn crop,2017,SCA,"Lavras, Minas Gerais, Brazil",-21.2035,-46.97826,1493,Ferralsol,1,5.7,50,6,44,,granular urea,150,,,,,0,0,0,maize,cereal,granular urea,59.166984,59.166984,0.73851,15,3,55,1,150,,44,1565,1493
126,this study,"de Souza, TL; Guelfi, DR; Silva, AL; Andrade, AB; Chagas, WFT; Cancellier, EL",Ammonia and carbon dioxide emissions by stabilized conventional nitrogen fertilizers and controlled release in corn crop,2017,SCA,"Lavras, Minas Gerais, Brazil",-21.2035,-46.97826,1493,Ferralsol,1,5.7,50,6,44,,ammonium sulfate,150,,,,,0,0,0,maize,cereal,ammonium sulfate,1.4144187,1.4144187,0,15,3,55,1,150,,44,1565,1493
127,this study,"de Souza, TL; Guelfi, DR; Silva, AL; Andrade, AB; Chagas, WFT; Cancellier, EL",Ammonia and carbon dioxide emissions by stabilized conventional nitrogen fertilizers and controlled release in corn crop,2017,SCA,"Lavras, Minas Gerais, Brazil",-21.2035,-46.97826,1493,Ferralsol,1,5.7,50,6,44,,ammonium nitrate,150,,,,,0,0,0,maize,cereal,ammonium nitrate,0.97200705,0.97200705,0,15,3,55,1,150,,44,1565,1493
128,this study,"de Souza, TL; Guelfi, DR; Silva, AL; Andrade, AB; Chagas, WFT; Cancellier, EL",Ammonia and carbon dioxide emissions by stabilized conventional nitrogen fertilizers and controlled release in corn crop,2017,SCA,"Lavras, Minas Gerais, Brazil",-21.2035,-46.97826,1493,Ferralsol,1,5.7,50,6,44,,sulphurcoated urea,150,,,,,0,0,0,maize,cereal,sulphurcoated urea,49.12299,49.12299,2.953356,15,3,55,1,150,,44,1565,1493
129,this study,"de Souza, TL; Guelfi, DR; Silva, AL; Andrade, AB; Chagas, WFT; Cancellier, EL",Ammonia and carbon dioxide emissions by stabilized conventional nitrogen fertilizers and controlled release in corn crop,2017,SCA,"Lavras, Minas Gerais, Brazil",-21.2035,-46.97826,1493,Ferralsol,1,5.7,50,6,44,,urea + NBPT,150,,,,,0,0,0,maize,cereal,urea + NBPT,13.231539,13.231539,0,15,3,55,1,150,,44,1565,1493
130,this study,"de Souza, TL; Guelfi, DR; Silva, AL; Andrade, AB; Chagas, WFT; Cancellier, EL",Ammonia and carbon dioxide emissions by stabilized conventional nitrogen fertilizers and controlled release in corn crop,2017,SCA,"Lavras, Minas Gerais, Brazil",-21.2035,-46.97826,1493,Ferralsol,1,5.7,50,6,44,,urea PSCU,150,,,,,0,0,0,maize,cereal,urea PSCU,48.53172,48.53172,2.953356,15,3,55,1,150,,44,1565,1493
131,this study,"de Souza, TL; Guelfi, DR; Silva, AL; Andrade, AB; Chagas, WFT; Cancellier, EL",Ammonia and carbon dioxide emissions by stabilized conventional nitrogen fertilizers and controlled release in corn crop,2017,SCA,"Lavras, Minas Gerais, Brazil",-21.2035,-46.97826,1493,Ferralsol,1,5.7,50,6,44,,hydrolyzed leather,150,,,,,0,0,0,maize,cereal,hydrolyzed leather,14.3273655,14.3273655,0.5908095,15,3,55,1,150,,44,1565,1493
132,this study,"de Souza, TL; Guelfi, DR; Silva, AL; Andrade, AB; Chagas, WFT; Cancellier, EL",Ammonia and carbon dioxide emissions by stabilized conventional nitrogen fertilizers and controlled release in corn crop,2017,SCA,"Lavras, Minas Gerais, Brazil",-21.2035,-46.97826,1493,Ferralsol,1,5.7,50,6,44,,urea + thermoplastic,150,,,,,0,0,0,maize,cereal,urea + thermoplastic resin,5.1695841,5.1695841,0,15,3,55,1,150,,44,1565,1493
133,this study,"de Souza, TL; Guelfi, DR; Silva, AL; Andrade, AB; Chagas, WFT; Cancellier, EL",Ammonia and carbon dioxide emissions by stabilized conventional nitrogen fertilizers and controlled release in corn crop,2017,SCA,"Lavras, Minas Gerais, Brazil",-21.2035,-46.97826,1493,Ferralsol,1,5.7,50,6,44,,prilled urea,150,,,,,0,0,0,maize,cereal,prilled urea incorporated at .02m,35.3871315,35.3871315,3.98727,15,3,55,1,150,,44,1565,1493
134,this study,"Martins, MR; Sant'Anna, SAC; Zaman, M; Santos, RC; Monteiro, RC; Alves, BJR; Jantalia, CP; Boddey, RM; Urquiaga, S","Strategies for the use of urease and nitrification inhibitors with urea: Impact on N2O and NH3 emissions, fertilizer-N-15 recovery and maize yield in a tropical soil",2017,SCA," Seropédica, Rio de Janeiro, Brazil",-22.75,-43.66667,1300,Acrisol,1,6.1,21,11,68,,urea,150,,,,,1,0,1,maize,cereal,Urea/Urea,54.959324,54.959324,,31,5,70,1,150,,68,,1300
135,this study,"Martins, MR; Sant'Anna, SAC; Zaman, M; Santos, RC; Monteiro, RC; Alves, BJR; Jantalia, CP; Boddey, RM; Urquiaga, S","Strategies for the use of urease and nitrification inhibitors with urea: Impact on N2O and NH3 emissions, fertilizer-N-15 recovery and maize yield in a tropical soil",2017,SCA," Seropédica, Rio de Janeiro, Brazil",-22.75,-43.66667,1300,Acrisol,1,6.1,21,11,68,,urea,150,,,,,1,0,1,maize,cereal,Urea + Np/Urea + NBPT,37.25789,37.25789,,31,5,70,1,150,,68,,1300
136,this study,"Martins, MR; Sant'Anna, SAC; Zaman, M; Santos, RC; Monteiro, RC; Alves, BJR; Jantalia, CP; Boddey, RM; Urquiaga, S","Strategies for the use of urease and nitrification inhibitors with urea: Impact on N2O and NH3 emissions, fertilizer-N-15 recovery and maize yield in a tropical soil",2017,SCA," Seropédica, Rio de Janeiro, Brazil",-22.75,-43.66667,1300,Acrisol,1,6.1,21,11,68,,urea,150,,,,,1,0,1,maize,cereal,Urea/Urea + NBPT,36.33165,36.33165,,31,5,70,1,150,,68,,1300
137,this study,"Martins, MR; Sant'Anna, SAC; Zaman, M; Santos, RC; Monteiro, RC; Alves, BJR; Jantalia, CP; Boddey, RM; Urquiaga, S","Strategies for the use of urease and nitrification inhibitors with urea: Impact on N2O and NH3 emissions, fertilizer-N-15 recovery and maize yield in a tropical soil",2017,SCA," Seropédica, Rio de Janeiro, Brazil",-22.75,-43.66667,1300,Acrisol,1,6.1,21,11,68,,urea,150,,,,,1,0,1,maize,cereal,Urea + Np/Urea,53.724342,53.724342,,31,5,70,1,150,,68,,1300
138,this study,"Martins, MR; Sant'Anna, SAC; Zaman, M; Santos, RC; Monteiro, RC; Alves, BJR; Jantalia, CP; Boddey, RM; Urquiaga, S","Strategies for the use of urease and nitrification inhibitors with urea: Impact on N2O and NH3 emissions, fertilizer-N-15 recovery and maize yield in a tropical soil",2017,SCA," Seropédica, Rio de Janeiro, Brazil",-22.75,-43.66667,1300,Acrisol,1,6.1,21,11,68,,,0,,,,,1,0,1,maize,cereal,Control,1.5466316,1.5466316,,31,5,70,1,0,,68,,1300
139,this study,"Chagas, WFT; Guelfi, DR; Caputo, ALC; de Souza, TL; Andrade, AB; Faquin, V",Ammonia volatilization from blends with stabilized and controlled-released urea in the coffee system,2016,SCA,"Lavras, Minas Gerais, Brazil",-21.258523,-45.00178,1530,Oxisol,1,6.6,55,21,24,,urea,150,,,,,0,0,1,coffee,other,granular urea 2nd,23.2,23.2,,15,3,42,1,150,,24,1585,1530
140,this study,"Chagas, WFT; Guelfi, DR; Caputo, ALC; de Souza, TL; Andrade, AB; Faquin, V",Ammonia volatilization from blends with stabilized and controlled-released urea in the coffee system,2016,SCA,"Lavras, Minas Gerais, Brazil",-21.258523,-45.00178,1530,Oxisol,1,6.6,55,21,24,,ammonium nitrate,150,,,,,0,0,1,coffee,other,ammonium nitrate 2nd,0.9,0.9,,15,3,42,1,150,,24,1585,1530
141,this study,"Chagas, WFT; Guelfi, DR; Caputo, ALC; de Souza, TL; Andrade, AB; Faquin, V",Ammonia volatilization from blends with stabilized and controlled-released urea in the coffee system,2016,SCA,"Lavras, Minas Gerais, Brazil",-21.258523,-45.00178,1530,Oxisol,1,6.6,55,21,24,,urea,225,,,,,0,0,1,coffee,other,polyblend extend 100% 2nd,38.8,38.8,,15,3,42,1,225,,24,1585,1530
142,this study,"Chagas, WFT; Guelfi, DR; Caputo, ALC; de Souza, TL; Andrade, AB; Faquin, V",Ammonia volatilization from blends with stabilized and controlled-released urea in the coffee system,2016,SCA,"Lavras, Minas Gerais, Brazil",-21.258523,-45.00178,1530,Oxisol,1,6.6,55,21,24,,urea,157.5,,,,,0,0,1,coffee,other,polyblend extend 70% 2nd,23.1,23.1,,15,3,42,1,157.5,,24,1585,1530
143,this study,"Chagas, WFT; Guelfi, DR; Caputo, ALC; de Souza, TL; Andrade, AB; Faquin, V",Ammonia volatilization from blends with stabilized and controlled-released urea in the coffee system,2016,SCA,"Lavras, Minas Gerais, Brazil",-21.258523,-45.00178,1530,Oxisol,1,6.6,55,21,24,,urea,450,,,,,0,0,1,coffee,other,polyblend montanha 100% 2nd,41.9,41.9,,15,3,42,1,450,,24,1585,1530
144,this study,"Chagas, WFT; Guelfi, DR; Caputo, ALC; de Souza, TL; Andrade, AB; Faquin, V",Ammonia volatilization from blends with stabilized and controlled-released urea in the coffee system,2016,SCA,"Lavras, Minas Gerais, Brazil",-21.258523,-45.00178,1530,Oxisol,1,6.6,55,21,24,,urea,315,,,,,0,0,1,coffee,other,polyblend montanha 70% 2nd,20,20,,15,3,42,1,315,,24,1585,1530
145,this study,"Chagas, WFT; Guelfi, DR; Caputo, ALC; de Souza, TL; Andrade, AB; Faquin, V",Ammonia volatilization from blends with stabilized and controlled-released urea in the coffee system,2016,SCA,"Lavras, Minas Gerais, Brazil",-21.258523,-45.00178,1530,Oxisol,1,6.6,55,21,24,,urea,150,,,,,0,0,1,coffee,other,urea 3rd,27.4,27.4,,15,3,42,1,150,,24,1585,1530
146,this study,"Chagas, WFT; Guelfi, DR; Caputo, ALC; de Souza, TL; Andrade, AB; Faquin, V",Ammonia volatilization from blends with stabilized and controlled-released urea in the coffee system,2016,SCA,"Lavras, Minas Gerais, Brazil",-21.258523,-45.00178,1530,Oxisol,1,6.6,55,21,24,,ammonium nitrate,150,,,,,0,0,1,coffee,other,ammonium nitrate 3rd,0.7,0.7,,15,3,42,1,150,,24,1585,1530
147,this study,"Martins, MR; Jantalia, CP; Polidoro, JC; Batista, JN; Alves, BJR; Boddey, RM; Urquiaga, S",Nitrous oxide and ammonia emissions from N fertilization of maize crop under no-till in a Cerrado soil,2015,SCA,"Luis Eduardo Magalhães, Bahia, Brazil",-12,-46.05,1473,Oxisol,1,5.2,21.4,4.9,73.7,,ammonium sulfate,40,urea,120,,,1,0,0,maize,cereal,urea,7.1038475,7.1038475,0.5520048,13,6,37,1,160,,73.7,1485,1473
148,this study,"Martins, MR; Jantalia, CP; Polidoro, JC; Batista, JN; Alves, BJR; Boddey, RM; Urquiaga, S",Nitrous oxide and ammonia emissions from N fertilization of maize crop under no-till in a Cerrado soil,2015,SCA,"Luis Eduardo Magalhães, Bahia, Brazil",-12,-46.05,1473,Oxisol,1,5.2,21.4,4.9,73.7,,ammonium sulfate,40,urea,120,,,1,0,0,maize,cereal,urea + zeolite,8.616077,8.616077,0.383571,13,6,37,1,160,,73.7,1485,1473
149,this study,"Martins, MR; Jantalia, CP; Polidoro, JC; Batista, JN; Alves, BJR; Boddey, RM; Urquiaga, S",Nitrous oxide and ammonia emissions from N fertilization of maize crop under no-till in a Cerrado soil,2015,SCA,"Luis Eduardo Magalhães, Bahia, Brazil",-12,-46.05,1473,Oxisol,1,5.2,21.4,4.9,73.7,,ammonium sulfate,40,calcium nitrate,120,,,1,0,0,maize,cereal,calcium nitrate,5.7838354,5.7838354,0.3358946,13,6,37,1,160,,73.7,1485,1473
150,this study,"Martins, MR; Jantalia, CP; Polidoro, JC; Batista, JN; Alves, BJR; Boddey, RM; Urquiaga, S",Nitrous oxide and ammonia emissions from N fertilization of maize crop under no-till in a Cerrado soil,2015,SCA,"Luis Eduardo Magalhães, Bahia, Brazil",-12,-46.05,1473,Oxisol,1,5.2,21.4,4.9,73.7,,ammonium sulfate,40,ammonium sulfate,120,,,1,0,0,maize,cereal,ammonium sulfate,6.2403812,6.2403812,0.5514638,13,6,37,1,160,,73.7,1485,1473
151,this study,"Martins, MR; Jantalia, CP; Polidoro, JC; Batista, JN; Alves, BJR; Boddey, RM; Urquiaga, S",Nitrous oxide and ammonia emissions from N fertilization of maize crop under no-till in a Cerrado soil,2015,SCA,"Luis Eduardo Magalhães, Bahia, Brazil",-12,-46.05,1473,Oxisol,1,5.2,21.4,4.9,73.7,,,0,,,,,1,0,0,maize,cereal,control,3.1675951,3.1675951,0.1683267,13,6,37,1,0,,73.7,1485,1473
152,this study,"Zavaschi, E; Faria, LD; Vitti, GC; Nascimento, CAD; de Moura, TA; do Vale, DW; Mendes, FL; Kamogawa, MY",AMMONIA VOLATILIZATION AND YIELD COMPONENTS AFTER APPLICATION OF POLYMER-COATED UREA TO MAIZE,2014,SCA,"Uberlândia, MG, Brazil",-19.41667,-47.98333,,Ferralsol,1,5.7,90,5,5,,urea,45,,,,,0,0,0,maize,cereal,PCU 45,19.5516576,19.5516576,,10,4,18,1,45,,5,1585,1585
153,this study,"Zavaschi, E; Faria, LD; Vitti, GC; Nascimento, CAD; de Moura, TA; do Vale, DW; Mendes, FL; Kamogawa, MY",AMMONIA VOLATILIZATION AND YIELD COMPONENTS AFTER APPLICATION OF POLYMER-COATED UREA TO MAIZE,2014,SCA,"Uberlândia, MG, Brazil",-19.41667,-47.98333,,Ferralsol,1,5.7,90,5,5,,urea,67.5,,,,,0,0,0,maize,cereal,PCU 67.5,21.3927102,21.3927102,,10,4,18,1,67.5,,5,1585,1585
154,this study,"Zavaschi, E; Faria, LD; Vitti, GC; Nascimento, CAD; de Moura, TA; do Vale, DW; Mendes, FL; Kamogawa, MY",AMMONIA VOLATILIZATION AND YIELD COMPONENTS AFTER APPLICATION OF POLYMER-COATED UREA TO MAIZE,2014,SCA,"Uberlândia, MG, Brazil",-19.41667,-47.98333,,Ferralsol,1,5.7,90,5,5,,urea,90,,,,,0,0,0,maize,cereal,PCU 90,25.1920692,25.1920692,,10,4,18,1,90,,5,1585,1585
155,this study,"Zavaschi, E; Faria, LD; Vitti, GC; Nascimento, CAD; de Moura, TA; do Vale, DW; Mendes, FL; Kamogawa, MY",AMMONIA VOLATILIZATION AND YIELD COMPONENTS AFTER APPLICATION OF POLYMER-COATED UREA TO MAIZE,2014,SCA,"Uberlândia, MG, Brazil",-19.41667,-47.98333,,Ferralsol,1,5.7,90,5,5,,urea,45,,,,,0,0,0,maize,cereal,CU 45,16.30836,16.30836,,10,4,18,1,45,,5,1585,1585
156,this study,"Zavaschi, E; Faria, LD; Vitti, GC; Nascimento, CAD; de Moura, TA; do Vale, DW; Mendes, FL; Kamogawa, MY",AMMONIA VOLATILIZATION AND YIELD COMPONENTS AFTER APPLICATION OF POLYMER-COATED UREA TO MAIZE,2014,SCA,"Uberlândia, MG, Brazil",-19.41667,-47.98333,,Ferralsol,1,5.7,90,5,5,,urea,67.5,,,,,0,0,0,maize,cereal,CU 67.5,27.24768923,27.24768923,,10,4,18,1,67.5,,5,1585,1585
157,this study,"Zavaschi, E; Faria, LD; Vitti, GC; Nascimento, CAD; de Moura, TA; do Vale, DW; Mendes, FL; Kamogawa, MY",AMMONIA VOLATILIZATION AND YIELD COMPONENTS AFTER APPLICATION OF POLYMER-COATED UREA TO MAIZE,2014,SCA,"Uberlândia, MG, Brazil",-19.41667,-47.98333,,Ferralsol,1,5.7,90,5,5,,urea,90,,,,,0,0,0,maize,cereal,CU 90,24.5223774,24.5223774,,10,4,18,1,90,,5,1585,1585
158,this study,"Paredes, DD; Lessa, ACD; de Sant'Anna, SAC; Boddey, RM; Urquiaga, S; Alves, BJR","Nitrous oxide emission and ammonia volatilization induced by vinasse and N fertilizer application in a sugarcane crop at Rio de Janeiro, Brazil",2014,SCA,"Seropédica, Rio de Janeiro, Brazil",-22.81667,-43.703451,1300,Acrisol,1,6.2,42.4,26.2,31.4,,,0,,,,,0,1,1,sugar cane,other,control,0.80865169,0.80865169,,6,5,15,1,0,,31.4,,1300
159,this study,"Paredes, DD; Lessa, ACD; de Sant'Anna, SAC; Boddey, RM; Urquiaga, S; Alves, BJR","Nitrous oxide emission and ammonia volatilization induced by vinasse and N fertilizer application in a sugarcane crop at Rio de Janeiro, Brazil",2014,SCA,"Seropédica, Rio de Janeiro, Brazil",-22.81667,-43.703451,1300,Acrisol,1,6.2,42.4,26.2,31.4,,vinasse,12,urea,80,,,1,1,1,sugar cane,other,vinasse T1; urea T2,5.57194401,5.57194401,,6,5,15,1,92,,31.4,,1300
160,this study,"Paredes, DD; Lessa, ACD; de Sant'Anna, SAC; Boddey, RM; Urquiaga, S; Alves, BJR","Nitrous oxide emission and ammonia volatilization induced by vinasse and N fertilizer application in a sugarcane crop at Rio de Janeiro, Brazil",2014,SCA,"Seropédica, Rio de Janeiro, Brazil",-22.81667,-43.703451,1300,Acrisol,1,6.2,42.4,26.2,31.4,,urea,80,vinasse,12,,,1,1,1,sugar cane,other,urea T1; vinasse T2,11.84350853,11.84350853,,6,5,15,1,92,,31.4,,1300
161,this study,"Paredes, DD; Lessa, ACD; de Sant'Anna, SAC; Boddey, RM; Urquiaga, S; Alves, BJR","Nitrous oxide emission and ammonia volatilization induced by vinasse and N fertilizer application in a sugarcane crop at Rio de Janeiro, Brazil",2014,SCA,"Seropédica, Rio de Janeiro, Brazil",-22.81667,-43.703451,1300,Acrisol,1,6.2,42.4,26.2,31.4,,vinasse,12,,,,,0,1,1,sugar cane,other,vinasse T2,0.9042564,0.9042564,,6,5,15,1,12,,31.4,,1300
162,this study,"Paredes, DD; Lessa, ACD; de Sant'Anna, SAC; Boddey, RM; Urquiaga, S; Alves, BJR","Nitrous oxide emission and ammonia volatilization induced by vinasse and N fertilizer application in a sugarcane crop at Rio de Janeiro, Brazil",2014,SCA,"Seropédica, Rio de Janeiro, Brazil",-22.81667,-43.703451,1300,Acrisol,1,6.2,42.4,26.2,31.4,,urea,80,,,,,0,1,1,sugar cane,other,urea T2,4.22504921,4.22504921,,6,5,15,1,80,,31.4,,1300
163,this study,"de Morais, RF; Boddey, RM; Urquiaga, S; Jantalia, CP; Alves, BJR",Ammonia volatilization and nitrous oxide emissions during soil preparation and N fertilization of elephant grass (Pennisetum purpureum Schum.),2013,SCA,"Seropédica, Rio de Janeiro, Brazil",-22.81667,-43.65,1300,Acrisol,1,6.2,42.4,26.2,31.4,,,0,,,,,0,1,0,elephant grass,other,unfertilized 1,0.0035325,0.0035325,,9,5,9,1,0,,31.4,,1300
164,this study,"de Morais, RF; Boddey, RM; Urquiaga, S; Jantalia, CP; Alves, BJR",Ammonia volatilization and nitrous oxide emissions during soil preparation and N fertilization of elephant grass (Pennisetum purpureum Schum.),2013,SCA,"Seropédica, Rio de Janeiro, Brazil",-22.81667,-43.65,1300,Acrisol,1,6.2,42.4,26.2,31.4,,urea,80,,,,,0,1,0,elephant grass,other,fertilized 1,0.040663,0.040663,,9,5,9,1,80,,31.4,,1300
165,this study,"de Morais, RF; Boddey, RM; Urquiaga, S; Jantalia, CP; Alves, BJR",Ammonia volatilization and nitrous oxide emissions during soil preparation and N fertilization of elephant grass (Pennisetum purpureum Schum.),2013,SCA,"Seropédica, Rio de Janeiro, Brazil",-22.81667,-43.65,1300,Acrisol,1,6.2,42.4,26.2,31.4,,,0,,,,,0,1,0,elephant grass,other,unfertilized 2,0.0005495,0.0005495,,9,5,9,1,0,,31.4,,1300
166,this study,"de Morais, RF; Boddey, RM; Urquiaga, S; Jantalia, CP; Alves, BJR",Ammonia volatilization and nitrous oxide emissions during soil preparation and N fertilization of elephant grass (Pennisetum purpureum Schum.),2013,SCA,"Seropédica, Rio de Janeiro, Brazil",-22.81667,-43.65,1300,Acrisol,1,6.2,42.4,26.2,31.4,,urea,100,,,,,0,1,0,elephant grass,other,fertilized 2,0.033598,0.033598,,9,5,9,1,100,,31.4,,1300
167,this study,"de Morais, RF; Boddey, RM; Urquiaga, S; Jantalia, CP; Alves, BJR",Ammonia volatilization and nitrous oxide emissions during soil preparation and N fertilization of elephant grass (Pennisetum purpureum Schum.),2013,SCA,"Seropédica, Rio de Janeiro, Brazil",-22.81667,-43.65,1300,Acrisol,1,6.2,42.4,26.2,31.4,,,0,,,,,0,1,0,elephant grass,other,unfertilized 3,0.001099,0.001099,,9,5,9,1,0,,31.4,,1300
168,this study,"de Morais, RF; Boddey, RM; Urquiaga, S; Jantalia, CP; Alves, BJR",Ammonia volatilization and nitrous oxide emissions during soil preparation and N fertilization of elephant grass (Pennisetum purpureum Schum.),2013,SCA,"Seropédica, Rio de Janeiro, Brazil",-22.81667,-43.65,1300,Acrisol,1,6.2,42.4,26.2,31.4,,urea,80,,,,,0,1,0,elephant grass,other,fertilized 3,0.029673,0.029673,,9,5,9,1,80,,31.4,,1300
169,this study,"Mariano, E; Trivelin, PCO; Vieira, MX; Leite, JM; Otto, R; Franco, HCJ",AMMONIA LOSSES ESTIMATED BY AN OPEN COLLECTOR FROM UREA APPLIED TO SUGARCANE STRAW,2012,SCA,"Piracicaba, São Paulo, Brazil",-22.58333,-47.61667,1275,Typic Hapludox,0,4.6,63,,,,urea,50,,,,,0,1,0,sugar cane,other,50 SOC,8.619815,8.619815,,11,4,30,1,50,,,1475,1275
170,this study,"Mariano, E; Trivelin, PCO; Vieira, MX; Leite, JM; Otto, R; Franco, HCJ",AMMONIA LOSSES ESTIMATED BY AN OPEN COLLECTOR FROM UREA APPLIED TO SUGARCANE STRAW,2012,SCA,"Piracicaba, São Paulo, Brazil",-22.58333,-47.61667,1275,Typic Hapludox,0,4.6,63,,,,urea,100,,,,,0,1,0,sugar cane,other,100 SOC,23.97253,23.97253,,11,4,30,1,100,,,1475,1275
171,this study,"Mariano, E; Trivelin, PCO; Vieira, MX; Leite, JM; Otto, R; Franco, HCJ",AMMONIA LOSSES ESTIMATED BY AN OPEN COLLECTOR FROM UREA APPLIED TO SUGARCANE STRAW,2012,SCA,"Piracicaba, São Paulo, Brazil",-22.58333,-47.61667,1275,Typic Hapludox,0,4.6,63,,,,urea,150,,,,,0,1,0,sugar cane,other,150 SOC,36.094147,36.094147,,11,4,30,1,150,,,1475,1275
172,this study,"Mariano, E; Trivelin, PCO; Vieira, MX; Leite, JM; Otto, R; Franco, HCJ",AMMONIA LOSSES ESTIMATED BY AN OPEN COLLECTOR FROM UREA APPLIED TO SUGARCANE STRAW,2012,SCA,"Piracicaba, São Paulo, Brazil",-22.58333,-47.61667,1275,Typic Hapludox,0,4.6,63,,,,urea,200,,,,,0,1,0,sugar cane,other,200 SOC,47.946392,47.946392,,11,4,30,1,200,,,1475,1275
173,this study,"Mariano, E; Trivelin, PCO; Vieira, MX; Leite, JM; Otto, R; Franco, HCJ",AMMONIA LOSSES ESTIMATED BY AN OPEN COLLECTOR FROM UREA APPLIED TO SUGARCANE STRAW,2012,SCA,"Piracicaba, São Paulo, Brazil",-22.58333,-47.61667,1275,Typic Hapludox,0,4.6,63,,,,urea,50,,,,,0,1,0,sugar cane,other,50 OC,6.7342305,6.7342305,,11,4,30,1,50,,,1475,1275
174,this study,"Mariano, E; Trivelin, PCO; Vieira, MX; Leite, JM; Otto, R; Franco, HCJ",AMMONIA LOSSES ESTIMATED BY AN OPEN COLLECTOR FROM UREA APPLIED TO SUGARCANE STRAW,2012,SCA,"Piracicaba, São Paulo, Brazil",-22.58333,-47.61667,1275,Typic Hapludox,0,4.6,63,,,,urea,100,,,,,0,1,0,sugar cane,other,100 OC,15.082016,15.082016,,11,4,30,1,100,,,1475,1275
175,this study,"Mariano, E; Trivelin, PCO; Vieira, MX; Leite, JM; Otto, R; Franco, HCJ",AMMONIA LOSSES ESTIMATED BY AN OPEN COLLECTOR FROM UREA APPLIED TO SUGARCANE STRAW,2012,SCA,"Piracicaba, São Paulo, Brazil",-22.58333,-47.61667,1275,Typic Hapludox,0,4.6,63,,,,urea,150,,,,,0,1,0,sugar cane,other,150 OC,19.123884,19.123884,,11,4,30,1,150,,,1475,1275
176,this study,"Mariano, E; Trivelin, PCO; Vieira, MX; Leite, JM; Otto, R; Franco, HCJ",AMMONIA LOSSES ESTIMATED BY AN OPEN COLLECTOR FROM UREA APPLIED TO SUGARCANE STRAW,2012,SCA,"Piracicaba, São Paulo, Brazil",-22.58333,-47.61667,1275,Typic Hapludox,0,4.6,63,,,,urea,200,,,,,0,1,0,sugar cane,other,200 OC,32.596336,32.596336,,11,4,30,1,200,,,1475,1275
177,this study,"Martines, AM; Nogueira, MA; Santos, CA; Nakatani, AS; Andrade, CA; Coscione, AR; Cantarella, H; Sousa, JP; Cardoso, EJBN",Ammonia volatilization in soil treated with tannery sludge,2010,SCA,"Rolândia, Paraná, Brazil ",-23.28333,-51.48333,1600,Rhodic Kandiudult,1,5.5,74,6,20,,tannery sludge,0,,,,,1,1,0,maize,cereal,0,4.934648582,4.934648582,,50,4,176,1,0,,20,1545,1600
178,this study,"Martines, AM; Nogueira, MA; Santos, CA; Nakatani, AS; Andrade, CA; Coscione, AR; Cantarella, H; Sousa, JP; Cardoso, EJBN",Ammonia volatilization in soil treated with tannery sludge,2010,SCA,"Rolândia, Paraná, Brazil ",-23.28333,-51.48333,1600,Rhodic Kandiudult,1,5.5,74,6,20,,tannery sludge,120,,,,,1,1,0,maize,cereal,120,21.38347719,21.38347719,,50,4,176,1,120,,20,1545,1600
179,this study,"Martines, AM; Nogueira, MA; Santos, CA; Nakatani, AS; Andrade, CA; Coscione, AR; Cantarella, H; Sousa, JP; Cardoso, EJBN",Ammonia volatilization in soil treated with tannery sludge,2010,SCA,"Rolândia, Paraná, Brazil ",-23.28333,-51.48333,1600,Rhodic Kandiudult,1,5.5,74,6,20,,tannery sludge,480,,,,,1,1,0,maize,cereal,480,141.459926,141.459926,,50,4,176,1,480,,20,1545,1600
180,this study,"Martines, AM; Nogueira, MA; Santos, CA; Nakatani, AS; Andrade, CA; Coscione, AR; Cantarella, H; Sousa, JP; Cardoso, EJBN",Ammonia volatilization in soil treated with tannery sludge,2010,SCA,"Rolândia, Paraná, Brazil ",-23.28333,-51.48333,1600,Rhodic Kandiudult,1,5.5,74,6,20,,tannery sludge,840,,,,,1,1,0,maize,cereal,840,679.3366215,679.3366215,,50,4,176,1,840,,20,1545,1600
181,this study,"Martines, AM; Nogueira, MA; Santos, CA; Nakatani, AS; Andrade, CA; Coscione, AR; Cantarella, H; Sousa, JP; Cardoso, EJBN",Ammonia volatilization in soil treated with tannery sludge,2010,SCA,"Rolândia, Paraná, Brazil ",-23.28333,-51.48333,1600,Rhodic Kandiudult,1,5.5,74,6,20,,tannery sludge,1200,,,,,1,1,0,maize,cereal,1200,336.378545,336.378545,,50,4,176,1,1200,,20,1545,1600
